TIPO DE USO DO IMOVEL,ANO DO EXERCICIO,quantidade
escritório ou consultório,2001,67310
"estacionamento e garagem, não em condomínio",2001,2544
"estação radioemissora, de televisão ou empresa jornalística",2001,111
"garagem em edifício de escritórios, consultórios ou misto",2001,20966
garagem em edifício de uso exclusivamente residencial,2001,121882
"garagem, em prédio de garagens",2001,8144
"hospital, ambulatório, casa de saúde e assemelhados",2001,1337
"hotel, pensão ou hospedaria",2001,2062
indústria,2001,14763
loja,2001,44083
loja e residência (predominância comercial),2001,50193
loja em edifício em condomínio,2001,19927
oficina,2001,11220
"outras edificações do tipo (uso coletivo), com utilização múltipla",2001,2529
"outras edificações do tipo (uso comércio), com utilização múltipla",2001,16929
"outras edificações do tipo (uso especial), com utilização múltipla",2001,1151
"outras edificações do tipo (uso serviço), com utilização múltipla",2001,4953
posto de serviço (combustíveis),2001,2152
"prédio com uso exclusivamente residencial, não em condomínio",2001,1165
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2001,203
"prédio com uso misto, predominância de uso residencial, não em condomínio",2001,3062
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2001,25463
residência,2001,932038
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2001,198069
residência e outro uso (predominância residencial),2001,84163
templo,2001,4814
terreno,2001,135757
Apartamento em condomínio,2017,1281964
Armazéns gerais e depósitos,2017,8464
"Asilo, orfanato, creche, seminário ou convento",2017,686
"Cinema, teatro, casa de diversão, clube ou congênere",2017,572
Clube esportivo,2017,559
Cortiço,2017,1797
Escola,2017,6672
Escritório/consultório em condomínio (unidade autônoma),2017,127988
"Estação radioemissora, de televisão ou empresa jornalística",2017,463
Flat de uso comercial (semelhante a hotel),2017,23412
Flat residencial em condomínio,2017,4715
Garagem (exclusive em prédio em condomínio),2017,2703
Garagem (unidade autônoma) de prédio de garagens,2017,9306
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",2017,34746
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,2017,192088
"Hospital, ambulatório, casa de saúde e assemelhados",2017,1290
"Hotel, pensão ou hospedaria",2017,2152
Indústria,2017,13388
Loja,2017,54007
Loja e residência (predominância comercial),2017,45673
Loja em edifício em condomínio (unidade autônoma),2017,23124
Oficina,2017,10097
"Outras edificações de uso coletivo, com utilização múltipla",2017,2920
"Outras edificações de uso comercial, com utilização múltipla",2017,20711
"Outras edificações de uso de serviço, com utilização múltipla",2017,4992
"Outras edificações de uso especial, com utilização múltipla",2017,1264
Posto de serviço,2017,2310
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",2017,2068
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2017,2717
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",2017,25189
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",2017,261
Residência,2017,1069360
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",2017,203940
Residência e outro uso (predominância residencial),2017,85141
Templo,2017,5756
Terreno,2017,111066
apartamento,2015,1128384
armazéns gerais e depósitos,2015,8182
"asilo, orfanato, creche, seminário ou convento",2015,649
"cinema, teatro, casa de diversão, clube ou congênere",2015,552
clube esportivo,2015,534
cortiço (habitação coletiva subnormal),2015,1530
escola,2015,6470
escritório ou consultório,2015,108002
"estacionamento e garagem, não em condomínio",2015,2730
"estação radioemissora, de televisão ou empresa jornalística",2015,412
"flat, não residencial",2015,23376
"flat, residencial",2015,4447
"garagem em edifício de escritórios, consultórios ou misto",2015,30611
garagem em edifício de uso exclusivamente residencial,2015,173541
"garagem, em prédio de garagens",2015,9758
"hospital, ambulatório, casa de saúde e assemelhados",2015,1283
"hotel, pensão ou hospedaria",2015,1745
indústria,2015,13026
loja,2015,52605
loja e residência (predominância comercial),2015,44675
loja em edifício em condomínio,2015,22367
oficina,2015,9874
"outras edificações do tipo (uso coletivo), com utilização múltipla",2015,2785
"outras edificações do tipo (uso comércio), com utilização múltipla",2015,19892
"outras edificações do tipo (uso especial), com utilização múltipla",2015,1231
"outras edificações do tipo (uso serviço), com utilização múltipla",2015,4907
posto de serviço (combustíveis),2015,2213
"prédio com uso exclusivamente residencial, não em condomínio",2015,2205
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2015,246
"prédio com uso misto, predominância de uso residencial, não em condomínio",2015,2720
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2015,25018
residência,2015,1018730
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2015,194692
residência e outro uso (predominância residencial),2015,81210
residência horizontal - Padrão B,2015,5
templo,2015,5476
terreno,2015,105295
apartamento,2006,867841
armazéns gerais e depósitos,2006,8114
"asilo, orfanato, creche, seminário ou convento",2006,578
"cinema, teatro, casa de diversão, clube ou congênere",2006,545
clube esportivo,2006,541
cortiço (habitação coletiva subnormal),2006,1732
escola,2006,6562
escritório ou consultório,2006,83506
"estacionamento e garagem, não em condomínio",2006,2888
"estação radioemissora, de televisão ou empresa jornalística",2006,182
"flat, não residencial",2006,20941
"flat, residencial",2006,3247
"garagem em edifício de escritórios, consultórios ou misto",2006,27251
garagem em edifício de uso exclusivamente residencial,2006,144631
"garagem, em prédio de garagens",2006,9255
"hospital, ambulatório, casa de saúde e assemelhados",2006,1272
"hotel, pensão ou hospedaria",2006,1074
indústria,2006,13999
loja,2006,44160
loja e residência (predominância comercial),2006,47178
loja em edifício em condomínio,2006,20884
oficina,2006,10700
"outras edificações do tipo (uso coletivo), com utilização múltipla",2006,2646
"outras edificações do tipo (uso comércio), com utilização múltipla",2006,17558
"outras edificações do tipo (uso especial), com utilização múltipla",2006,1202
"outras edificações do tipo (uso serviço), com utilização múltipla",2006,4982
posto de serviço (combustíveis),2006,2214
"prédio com uso exclusivamente residencial, não em condomínio",2006,1358
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2006,203
"prédio com uso misto, predominância de uso residencial, não em condomínio",2006,2956
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2006,24592
residência,2006,970761
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2006,201248
residência e outro uso (predominância residencial),2006,85833
templo,2006,5021
terreno,2006,124004
apartamento,2009,943617
armazéns gerais e depósitos,2009,8234
"asilo, orfanato, creche, seminário ou convento",2009,625
"cinema, teatro, casa de diversão, clube ou congênere",2009,564
clube esportivo,2009,545
cortiço (habitação coletiva subnormal),2009,1693
escola,2009,6582
escritório ou consultório,2009,88539
"estacionamento e garagem, não em condomínio",2009,2844
"estação radioemissora, de televisão ou empresa jornalística",2009,286
"flat, não residencial",2009,21781
"flat, residencial",2009,4238
"garagem em edifício de escritórios, consultórios ou misto",2009,27635
garagem em edifício de uso exclusivamente residencial,2009,156273
"garagem, em prédio de garagens",2009,9740
"hospital, ambulatório, casa de saúde e assemelhados",2009,1320
"hotel, pensão ou hospedaria",2009,1574
indústria,2009,13851
loja,2009,51800
loja e residência (predominância comercial),2009,48265
loja em edifício em condomínio,2009,21160
oficina,2009,10505
"outras edificações do tipo (uso coletivo), com utilização múltipla",2009,2737
"outras edificações do tipo (uso comércio), com utilização múltipla",2009,18615
"outras edificações do tipo (uso especial), com utilização múltipla",2009,1229
"outras edificações do tipo (uso serviço), com utilização múltipla",2009,5098
posto de serviço (combustíveis),2009,2225
"prédio com uso exclusivamente residencial, não em condomínio",2009,1514
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2009,231
"prédio com uso misto, predominância de uso residencial, não em condomínio",2009,2869
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2009,25119
residência,2009,987303
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2009,201400
residência e outro uso (predominância residencial),2009,84186
templo,2009,5245
terreno,2009,120374
apartamento,2014,1095264
armazéns gerais e depósitos,2014,8181
"asilo, orfanato, creche, seminário ou convento",2014,647
"cinema, teatro, casa de diversão, clube ou congênere",2014,547
clube esportivo,2014,541
cortiço (habitação coletiva subnormal),2014,1522
escola,2014,6465
escritório ou consultório,2014,102926
"estacionamento e garagem, não em condomínio",2014,2743
"estação radioemissora, de televisão ou empresa jornalística",2014,400
"flat, não residencial",2014,23422
"flat, residencial",2014,4459
"garagem em edifício de escritórios, consultórios ou misto",2014,29640
garagem em edifício de uso exclusivamente residencial,2014,170040
"garagem, em prédio de garagens",2014,9758
"hospital, ambulatório, casa de saúde e assemelhados",2014,1283
"hotel, pensão ou hospedaria",2014,1741
indústria,2014,13029
loja,2014,52435
loja e residência (predominância comercial),2014,44788
loja em edifício em condomínio,2014,22084
oficina,2014,9886
"outras edificações do tipo (uso coletivo), com utilização múltipla",2014,2778
"outras edificações do tipo (uso comércio), com utilização múltipla",2014,19744
"outras edificações do tipo (uso especial), com utilização múltipla",2014,1226
"outras edificações do tipo (uso serviço), com utilização múltipla",2014,4933
posto de serviço (combustíveis),2014,2214
"prédio com uso exclusivamente residencial, não em condomínio",2014,2005
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2014,242
"prédio com uso misto, predominância de uso residencial, não em condomínio",2014,2746
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2014,24991
residência,2014,1010618
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2014,194531
residência e outro uso (predominância residencial),2014,81085
residência horizontal - Padrão B,2014,5
templo,2014,5430
terreno,2014,105976
apartamento,2011,991169
armazéns gerais e depósitos,2011,8089
"asilo, orfanato, creche, seminário ou convento",2011,639
"cinema, teatro, casa de diversão, clube ou congênere",2011,537
clube esportivo,2011,539
cortiço (habitação coletiva subnormal),2011,1575
escola,2011,6519
escritório ou consultório,2011,92865
"estacionamento e garagem, não em condomínio",2011,2775
"estação radioemissora, de televisão ou empresa jornalística",2011,333
"flat, não residencial",2011,23654
"flat, residencial",2011,4185
"garagem em edifício de escritórios, consultórios ou misto",2011,28146
garagem em edifício de uso exclusivamente residencial,2011,161535
"garagem, em prédio de garagens",2011,9742
"hospital, ambulatório, casa de saúde e assemelhados",2011,1392
"hotel, pensão ou hospedaria",2011,1744
indústria,2011,13246
loja,2011,51710
loja e residência (predominância comercial),2011,45946
loja em edifício em condomínio,2011,21425
oficina,2011,10039
"outras edificações do tipo (uso coletivo), com utilização múltipla",2011,3217
"outras edificações do tipo (uso comércio), com utilização múltipla",2011,19268
"outras edificações do tipo (uso especial), com utilização múltipla",2011,1223
"outras edificações do tipo (uso serviço), com utilização múltipla",2011,4999
posto de serviço (combustíveis),2011,2205
"prédio com uso exclusivamente residencial, não em condomínio",2011,1490
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2011,237
"prédio com uso misto, predominância de uso residencial, não em condomínio",2011,2822
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2011,25140
residência,2011,988562
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2011,194732
residência e outro uso (predominância residencial),2011,80975
templo,2011,5303
terreno,2011,110826
apartamento,2000,714164
armazéns gerais e depósitos,2000,7571
"asilo, orfanato, creche, seminário ou convento",2000,472
"cinema, teatro, casa de diversão, clube ou congênere",2000,516
clube esportivo,2000,514
cortiço (habitação coletiva subnormal),2000,1773
escola,2000,6592
escritório ou consultório,2000,60283
"estacionamento e garagem, não em condomínio",2000,1969
"estação radioemissora, de televisão ou empresa jornalística",2000,82
"garagem em edifício de escritórios, consultórios ou misto",2000,20204
garagem em edifício de uso exclusivamente residencial,2000,115866
"garagem, em prédio de garagens",2000,8106
"hospital, ambulatório, casa de saúde e assemelhados",2000,1279
"hotel, pensão ou hospedaria",2000,1687
indústria,2000,14674
loja,2000,42592
loja e residência (predominância comercial),2000,50409
loja em edifício em condomínio,2000,19312
oficina,2000,11018
"outras edificações do tipo (uso coletivo), com utilização múltipla",2000,2349
"outras edificações do tipo (uso comércio), com utilização múltipla",2000,15776
"outras edificações do tipo (uso especial), com utilização múltipla",2000,1093
"outras edificações do tipo (uso serviço), com utilização múltipla",2000,4550
posto de serviço (combustíveis),2000,2085
"prédio com uso exclusivamente residencial, não em condomínio",2000,1190
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2000,188
"prédio com uso misto, predominância de uso residencial, não em condomínio",2000,2987
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2000,23917
residência,2000,928058
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2000,193808
residência e outro uso (predominância residencial),2000,80898
templo,2000,4542
terreno,2000,139411
Apartamento em condomínio,2019,1326370
Armazéns gerais e depósitos,2019,8511
"Asilo, orfanato, creche, seminário ou convento",2019,861
"Cinema, teatro, casa de diversão, clube ou congênere",2019,570
Clube esportivo,2019,558
Cortiço,2019,1782
Escola,2019,6850
Escritório/consultório em condomínio (unidade autônoma),2019,134295
"Estação radioemissora, de televisão ou empresa jornalística",2019,488
Flat de uso comercial (semelhante a hotel),2019,23964
Flat residencial em condomínio,2019,4806
Garagem (exclusive em prédio em condomínio),2019,2689
Garagem (unidade autônoma) de prédio de garagens,2019,9100
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",2019,36946
